rule_id,title,type,severity,status,scope,languages,tags,impacts,remediation_cost,default_quality_profiles,language_specific_docs,metadata_path
S100,Function names should comply with a naming convention,CODE_SMELL,Minor,ready,All,apex;go;jcl;python;shell;rpg;java;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S100/metadata.json
S101,Class names should comply with a naming convention,CODE_SMELL,Minor,ready,All,apex;go;python;dart;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S101/metadata.json
S103,Lines should not be too long,CODE_SMELL,Major,ready,All,apex;go;python;tsql;vb6;java;html;vbnet;abap;kotlin;php;xml;pli;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:MEDIUM,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S103/metadata.json
S104,Files should not have too many lines of code,CODE_SMELL,Major,ready,All,apex;go;python;rpg;tsql;vb6;java;html;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;ruby;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 1h,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S104/metadata.json
S105,Tabulation characters should not be used,CODE_SMELL,Minor,ready,All,apex;tsql;vb6;java;html;vbnet;abap;kotlin;php;xml;scala;swift;csharp;javascript;cobol;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 2min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S105/metadata.json
S1066,"Mergeable ""if"" statements should be combined",CODE_SMELL,Major,ready,All,apex;go;python;shell;tsql;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;flex;ruby;cfamily,clumsy,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1066/metadata.json
S1067,Expressions should not be too complex,CODE_SMELL,Critical,ready,All,apex;go;rpg;tsql;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;cobol;ruby;cfamily,brain-overload,MAINTAINABILITY:HIGH,Linear with offset,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1067/metadata.json
S107,Functions should not have too many parameters,CODE_SMELL,Major,ready,All,apex;go;python;dart;rust;tsql;vb6;java;vbnet;kotlin;php;pli;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 20min,Sonar way,noncompliant.adoc;rule.adoc;split-example.adoc;struct-example.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S107/metadata.json
S108,Nested blocks of code should not be left empty,CODE_SMELL,Major,ready,All,apex;go;python;rpg;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,suspicious,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S108/metadata.json
S1110,Redundant pairs of parentheses should be removed,CODE_SMELL,Major,ready,All,apex;go;python;tsql;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;ruby;cfamily,confusing,MAINTAINABILITY:MEDIUM,Constant/Issue: 1min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1110/metadata.json
S1125,Boolean literals should not be redundant,CODE_SMELL,Minor,ready,All,apex;go;vb6;java;vbnet;kotlin;php;scala;swift;csharp;plsql;javascript;flex,clumsy,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1125/metadata.json
S1128,Unnecessary imports should be removed,CODE_SMELL,Minor,ready,All,python;css;dart;java;kotlin;csharp;javascript,unused,MAINTAINABILITY:LOW,Constant/Issue: 1min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1128/metadata.json
S1133,Deprecated code should be removed,CODE_SMELL,Info,ready,All,dart;java;vbnet;kotlin;swift;csharp;cfamily,obsolete,MAINTAINABILITY:INFO,Constant/Issue: 10min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1133/metadata.json
S1134,"Track uses of ""FIXME"" tags",CODE_SMELL,Major,ready,All,apex;go;python;dart;tsql;vb6;java;html;vbnet;kotlin;php;xml;scala;swift;csharp;plsql;javascript;cobol;ruby;cfamily,cwe,MAINTAINABILITY:MEDIUM,Constant/Issue: 0min,Sonar way,non-compliant-example.adoc;rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1134/metadata.json
S1135,"Track uses of ""TODO"" tags",CODE_SMELL,Info,ready,All,terraform;docker;apex;go;python;dart;shell;azureresourcemanager;tsql;vb6;java;html;vbnet;kotlin;php;xml;ansible;githubactions;scala;swift;csharp;plsql;javascript;kubernetes;cloudformation;cobol;ruby;cfamily,cwe,MAINTAINABILITY:INFO,Constant/Issue: 0min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1135/metadata.json
S1143,"Jump statements should not occur in ""finally"" blocks",BUG,Critical,ready,All,python;dart;java;kotlin;javascript;cfamily,cwe;error-handling,RELIABILITY:HIGH,Constant/Issue: 30min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1143/metadata.json
