rule_id,title,type,severity,status,scope,languages,tags,impacts,remediation_cost,default_quality_profiles,language_specific_docs,metadata_path
S100,Function names should comply with a naming convention,CODE_SMELL,Minor,ready,All,apex;go;jcl;python;shell;rpg;java;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S100/metadata.json
S101,Class names should comply with a naming convention,CODE_SMELL,Minor,ready,All,apex;go;python;dart;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S101/metadata.json
S103,Lines should not be too long,CODE_SMELL,Major,ready,All,apex;go;python;tsql;vb6;java;html;vbnet;abap;kotlin;php;xml;pli;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:MEDIUM,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S103/metadata.json
S104,Files should not have too many lines of code,CODE_SMELL,Major,ready,All,apex;go;python;rpg;tsql;vb6;java;html;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;ruby;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 1h,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S104/metadata.json
S1045,Handlers in a single try-catch or function-try-block for a derived class and some or all of its bases should be ordered most-derived-first,BUG,Major,ready,Main,python;php;cfamily,,RELIABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1045/metadata.json
S1066,"Mergeable ""if"" statements should be combined",CODE_SMELL,Major,ready,All,apex;go;python;shell;tsql;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;flex;ruby;cfamily,clumsy,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1066/metadata.json
S107,Functions should not have too many parameters,CODE_SMELL,Major,ready,All,apex;go;python;dart;rust;tsql;vb6;java;vbnet;kotlin;php;pli;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 20min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S107/metadata.json
S108,Nested blocks of code should not be left empty,CODE_SMELL,Major,ready,All,apex;go;python;rpg;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,suspicious,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,code-example.adoc;rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S108/metadata.json
S1110,Redundant pairs of parentheses should be removed,CODE_SMELL,Major,ready,All,apex;go;python;tsql;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;ruby;cfamily,confusing,MAINTAINABILITY:MEDIUM,Constant/Issue: 1min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1110/metadata.json
S112,Generic exceptions should never be thrown,CODE_SMELL,Major,ready,Main,python;java;vbnet;php;csharp;cfamily,cwe;error-handling,MAINTAINABILITY:MEDIUM,Constant/Issue: 20min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S112/metadata.json
S1128,Unnecessary imports should be removed,CODE_SMELL,Minor,ready,All,python;css;dart;java;kotlin;csharp;javascript,unused,MAINTAINABILITY:LOW,Constant/Issue: 1min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1128/metadata.json
S1129,,,,,,python,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1129/metadata.json
S113,Files should end with a newline,CODE_SMELL,Minor,ready,All,python;dart;java;php;swift;csharp;javascript;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S113/metadata.json
S1131,Lines should not end with trailing whitespaces,CODE_SMELL,Minor,ready,Main,python;vb6;php;swift;plsql;javascript;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1131/metadata.json
S1134,"Track uses of ""FIXME"" tags",CODE_SMELL,Major,ready,All,apex;go;python;dart;tsql;vb6;java;html;vbnet;kotlin;php;xml;scala;swift;csharp;plsql;javascript;cobol;ruby;cfamily,cwe,MAINTAINABILITY:MEDIUM,Constant/Issue: 0min,Sonar way,non-compliant-example.adoc;rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1134/metadata.json
S1135,"Track uses of ""TODO"" tags",CODE_SMELL,Info,ready,All,terraform;docker;apex;go;python;dart;shell;azureresourcemanager;tsql;vb6;java;html;vbnet;kotlin;php;xml;ansible;githubactions;scala;swift;csharp;plsql;javascript;kubernetes;cloudformation;cobol;ruby;cfamily,cwe,MAINTAINABILITY:INFO,Constant/Issue: 0min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1135/metadata.json
S1142,Functions should not contain too many return statements,CODE_SMELL,Major,ready,Main,python;java;php;swift;flex;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 20min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1142/metadata.json
