rule_id,title,type,severity,status,scope,languages,tags,impacts,remediation_cost,default_quality_profiles,language_specific_docs,metadata_path
S100,Function names should comply with a naming convention,CODE_SMELL,Minor,ready,All,apex;go;jcl;python;shell;rpg;java;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S100/metadata.json
S101,Class names should comply with a naming convention,CODE_SMELL,Minor,ready,All,apex;go;python;dart;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S101/metadata.json
S103,Lines should not be too long,CODE_SMELL,Major,ready,All,apex;go;python;tsql;vb6;java;html;vbnet;abap;kotlin;php;xml;pli;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,convention,MAINTAINABILITY:MEDIUM,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S103/metadata.json
S104,Files should not have too many lines of code,CODE_SMELL,Major,ready,All,apex;go;python;rpg;tsql;vb6;java;html;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;ruby;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 1h,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S104/metadata.json
S105,Tabulation characters should not be used,CODE_SMELL,Minor,ready,All,apex;tsql;vb6;java;html;vbnet;abap;kotlin;php;xml;scala;swift;csharp;javascript;cobol;ruby;cfamily,convention,MAINTAINABILITY:LOW,Constant/Issue: 2min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S105/metadata.json
S106,Standard outputs should not be used directly to log anything,CODE_SMELL,Major,ready,Main,dart;rust;java;csharp;javascript;cfamily,bad-practice,MAINTAINABILITY:MEDIUM,Constant/Issue: 10min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S106/metadata.json
S1066,"Mergeable ""if"" statements should be combined",CODE_SMELL,Major,ready,All,apex;go;python;shell;tsql;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;flex;ruby;cfamily,clumsy,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1066/metadata.json
S1067,Expressions should not be too complex,CODE_SMELL,Critical,ready,All,apex;go;rpg;tsql;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;cobol;ruby;cfamily,brain-overload,MAINTAINABILITY:HIGH,Linear with offset,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1067/metadata.json
S1068,"Unused ""private"" fields should be removed",CODE_SMELL,Major,ready,All,dart;rpg;vb6;java;php;plsql;javascript;flex;cfamily,unused,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1068/metadata.json
S107,Functions should not have too many parameters,CODE_SMELL,Major,ready,All,apex;go;python;dart;rust;tsql;vb6;java;vbnet;kotlin;php;pli;scala;swift;csharp;plsql;javascript;flex;ruby;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 20min,Sonar way,noncompliant.adoc;rule.adoc;split-example.adoc;struct-example.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S107/metadata.json
S1077,"Image, area, button with image and object elements should have an alternative text",CODE_SMELL,Minor,ready,Main,html;javascript,accessibility;wcag2-a,RELIABILITY:LOW,Constant/Issue: 5min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1077/metadata.json
S108,Nested blocks of code should not be left empty,CODE_SMELL,Major,ready,All,apex;go;python;rpg;vb6;java;vbnet;abap;kotlin;php;scala;swift;csharp;javascript;flex;ruby;cfamily,suspicious,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,Sonar way,code-example.adoc;rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S108/metadata.json
S1082,,,,,,html;javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1082/metadata.json
S109,Magic numbers should not be used,CODE_SMELL,Major,ready,Main,vb6;java;abap;csharp;plsql;javascript;cobol;cfamily,brain-overload,MAINTAINABILITY:MEDIUM,Constant/Issue: 5min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S109/metadata.json
S1090,,,,,,html;javascript,,,Unknown,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1090/metadata.json
S1105,An open curly brace should be located at the end of a line,CODE_SMELL,Minor,ready,All,java;php;swift;javascript,convention,MAINTAINABILITY:LOW,Constant/Issue: 1min,,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1105/metadata.json
S1110,Redundant pairs of parentheses should be removed,CODE_SMELL,Major,ready,All,apex;go;python;tsql;java;vbnet;abap;kotlin;php;scala;swift;csharp;plsql;javascript;cobol;ruby;cfamily,confusing,MAINTAINABILITY:MEDIUM,Constant/Issue: 1min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1110/metadata.json
S1116,Empty statements should be removed,CODE_SMELL,Minor,ready,All,go;css;dart;rust;tsql;vb6;java;php;csharp;javascript;flex;cfamily,unused,MAINTAINABILITY:LOW,Constant/Issue: 2min,Sonar way,rule.adoc,/Users/brywoodruff/Projects/Vibe/rspec/rules/S1116/metadata.json
